ID,Hylak_id,latitude,longitude,Name,Type,Country,Continent,Poly_src,Lake_type,Grand_id,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Elevation,Slope_100,Wshd_area,Pour_long,Pour_lat
252,93,67.8334,87.6736,Khantaiskoye ?,Unkownn,Russia,Europe,Other,2,4783,2188.58,1278.69,7.71,23500,23500,2,10.6999998,240.765,1129.7,43,-1,16958.7,87.761458,68.12483
249,119,51.1035,100.5112,Khuvsgul, Lake,Mongolia,Asia,SWBD,1,0,2767.8,463.24,2.48,383700,0,1,138.6000061,25.365,175082.7,1642,-1,7714.6,100.152026,50.423719
248,124,49.1757,93.311,Khyargas Nuur,Unkownn,Mongolia,Asia,SWBD,1,0,1383.23,251.99,1.91,75200,0,1,54.4000015,55.312,15735.6,1029,-1,146784.7,93.402083,49.114583
10279,9424,33.6439,-98.8256,Kickapoo, Lake,United States of America,North America,SWBD,2,1145,17.62,45.82,3.0799999,249.2,249.2,2,14.1000004,0.795,3628,317,1.14,689.8,-98.778238,33.660121
87,163,-1.9381,29.1918,Kivu, Lake,Rwanda,Africa,SWBD,1,0,2400.88,1190.34,6.8499999,569000,0,1,237,64.438,102201.3,1461,-1,7421.8,28.892849,-2.48862
115,125,49.2965,32.569,Kremenchuk, Reservoir,Ukraine,Europe,SWBD,2,4371,1849.09,663.27,4.3499999,13520,13520,2,7.3000002,1618.834,96.7,77,-1,388063.7,33.247337,49.081155
117,116,55.276,49.595,Kuybyshev, Reservoir,Russia,Europe,SWBD,2,4628,5060.1,2945.28,11.6800003,58000,58000,2,11.5,7739.459,86.7,45,-1,1205909,49.496391,53.458111
213,161,1.472,32.8395,Kyoga, Lake,Uganda,Africa,SWBD,1,0,2788.19,1453.33,7.7600002,8364.57,0,1,3,3428.311,28.2,1034,-1,318838,32.349026,1.613382
195,47,53.845,-75.347,La Grande Riviere Reservoir,Unkownn,Canada,North America,Other,2,1396,2401.01,3575.78,20.5900002,60020,60020,2,25,1223.129,567.9,250,-1,62404.7,-75.963448,53.729265
45,10,60.9037,31.4429,Ladoga, Lake,Russia,Europe,MODIS,1,0,17444.01,1795.84,3.8399999,837000,0,1,48,2527.206,3833.3,-10,-1,279581.2,31.032851,59.95278
1472,1558,8.9353,13.8512,Lagdo, Lake,Cameroon,Africa,SWBD,2,3650,623.12,589.74,6.6599998,7800,7800,2,12.5,222.165,406.4,213,-1,30922.3,13.689926,9.058993
7093,117264,-2.0394,-53.4703,Lagoa do Inferno, Lake,Brazil,South America,SWBD,1,0,8.18,22.59,2.23,11.35,0,3,1.4,26.535,4.9,2,0.35,1136.9,-53.471908,-2.017813
2216,10002,-2.3249,-53.9766,Lagoa, Lake,Brazil,South America,SWBD,1,0,65.14,128.37,4.4899998,145.01,0,3,2.2,15.097,111.2,3,0.65,696.6,-53.948958,-2.215551
209,171,-15.6812,31.7422, Cahora Bassa,Unkownn,Mozambique,Africa,SWBD,2,4505,2048.68,2176.09,13.5600004,63000,63000,2,30.7999992,2652.541,274.9,317,-1,1068237,32.704318,-15.586301
190,42,55.4352,-115.2493, Lesser Slave,Unkownn,Canada,North America,CanVec,1,0,1186.51,314.63,2.5799999,13526.56,0,1,11.3999996,43.347,3611.7,572,-1,13479,-114.773391,55.306762
204,809,36.137,-114.4899, Mead,Unkownn,United States of America,North America,SWBD,2,610,580.95,758.83,8.8800001,36700,36700,2,63.2000008,586.683,724,372,-1,424018.4,-114.735006,36.018191
73,57,49.0559,-94.9384, of the Woods,Unkownn,Canada,North America,SWBD,1,0,3472.81,5177.27,24.7800007,37000,0,1,10.6999998,449.584,952.5,320,-1,69313.9,-94.518399,49.764368
65,992,-41.13,-72.8,Llanquihue, Lake,Chile,South America,SWBD,1,0,861.27,197.08,1.89,158600,0,1,184.1000061,42.418,43275.2,53,-1,1435.2,-73.00104,-41.258869
109,1412381,-14.4054,27.7954,Lukanga Swamp,Unkownn,Zambia,Africa,SWBD,1,0,0.21,2.06,1.27,0.13,0,3,0.6,13.864,0.1,1117,0.07,3296.8,27.79874,-14.410197
8625,9027,43.9402,-80.4236,Luther, Lake,Canada,North America,CanVec,1,0,11.43,56.23,4.6900001,23.39,0,3,2,0.25,1083,479,0.88,35.8,-80.403566,43.9627
8504,1551,10.8064,14.9539,Maga, Lake,Cameroon,Africa,SWBD,2,4041,115.94,82.35,2.1600001,50,50,2,0.4,14.736,39.3,312,0.22,3481.7,15.051745,10.827071
135,164,-1.9881,18.3197,Mai-Ndombe, Lake,Democratic Republic of the Congo,Africa,SWBD,1,0,2316.21,846.71,4.96,41000,0,1,17.7000008,779.696,608.6,292,-1,48905,18.177779,-2.715432
23,18,-11.8351,34.574,Malawi, Lake,Malawi,Africa,SWBD,1,0,29544,1718.97,2.8199999,7720000,0,1,261.2999878,1119.676,79801.5,476,-1,128727.2,35.236458,-14.417702
257,297,63.9927,-98.4114,Mallery,Unkownn,Canada,North America,CanVec,1,0,460.6,368.47,4.8400002,6497.43,0,3,14.1000004,56.543,1330,121,1.83,7699.5,-98.096875,63.926088
194,71,12.3311,-86.3402,Managua, Lake,Nicaragua,North America,SWBD,1,0,1060.87,261.39,2.26,8990,0,1,8.5,67.389,1544,41,-1,6196.7,-86.107292,12.202589
8804,10243,-14.8978,-55.7717,Manso, Reservoir,Brazil,South America,SWBD,2,2369,49.39,156.85,6.3000002,2600,2600,2,52.5999985,140.126,214.8,258,2.0699999,9366.8,-55.783711,-14.87336
606,1651,-23.8821,32.0361,Massinger Barragen, Lake,Mozambique,Africa,SWBD,2,4576,118.86,145.95,3.78,2260,2260,2,19,108.477,241.1,121,2.5699999,69497.9,32.143353,-23.872949
313,224,67.4936,-124.8624,Maunoir, Lake,Canada,North America,CanVec,1,0,335.79,164.17,2.53,8445.13,0,3,25.2000008,5.525,17691.3,249,3.26,1681.1,-124.678125,67.453221
11,6,44,-87,Michigan, Lake,United States of America,North America,SWBD,1,0,57726.84,2862.67,3.3599999,4860000,0,1,84.1999969,1877.753,29956,175,-1,176006.4,-84.75391,45.822916
118,1355,36.7125,42.822,Mosul Dam,Unkownn,Iraq,Asia,GRanD,2,4461,346.9,233.07,3.53,12500,12500,2,36,776.235,186.4,307,3.76,50755.1,42.828606,36.628982
2635,1427260,-42.0541,148.1471,Moulting, Lagoon,Australia,Oceania,SWBD,1,0,0.79,4.53,1.4400001,1.3,0,3,1.6,0.045,333.3,0,0.34,7.7,148.147917,-42.039873
8852,824,34.0621,-81.294,Murray, Lake,United States of America,North America,SWBD,2,1866,180.93,512.3,10.7399998,2713.7,2713.7,2,15,98.072,320.3,108,2.4000001,6273.8,-81.219554,34.051852
285,995,-45.42,-69.1926,Musters, Lake,Argentina,South America,SWBD,1,0,410.52,145.61,2.03,5642.34,0,3,13.6999998,1.214,53793.1,270,1.84,2261.7,-69.14375,-45.559722
217,167,-8.9737,28.7595,Mweru, Lake,Democratic Republic of the Congo,Africa,SWBD,1,0,5042.56,572.11,2.27,38200,0,1,7.5999999,1491.026,296.5,921,-1,216298.5,28.878979,-8.491502
210,152,22.4398,31.7697,Nasser, Lake,Egypt,Africa,SWBD,2,4478,5385.34,7201.04,27.6800003,162000,162000,2,30.1000004,2669.791,702.3,179,-1,2764126,32.886458,23.96728
201,20,66.5103,-70.4636,Nettiling, Lake,Canada,North America,CanVec,1,0,4872.7,7167.81,28.9699993,114000,0,1,23.3999996,655.623,2012.5,18,-1,63399.7,-71.413041,66.56381
273,864,17.1583,-93.6348,Netzahualcóyotl, Lake,Mexico,North America,SWBD,2,1387,291.99,571.32,9.4300003,8300,8300,2,28.3999996,463.887,207.1,178,8.9200001,34414,-93.598787,17.176567
70,72,11.4693,-85.2979,Nicaragua, Lake,Nicaragua,North America,SWBD,1,0,7833.32,812.17,2.5899999,104000,0,1,13.3000002,243.917,4934.9,31,-1,25625.4,-84.781903,11.122437
